timestamp_utc,tick,phase,drone_1_x,drone_1_y,drone_1_z,drone_1_target_x,drone_1_target_y,drone_1_visited_points,drone_2_x,drone_2_y,drone_2_z,drone_2_target_x,drone_2_target_y,drone_2_visited_points,drone_3_x,drone_3_y,drone_3_z,drone_3_target_x,drone_3_target_y,drone_3_visited_points,minimum_3d_separation_m,safety_status
2026-07-22T00:34:18.606877+00:00,1,randomized_autonomous_surveillance,-30.131,-36.92,1.374,-34.0,-5.0,0,0.322,-37.194,1.386,12.0,-8.0,0,30.452,-37.02,1.724,42.0,-12.0,0,30.13,SAFE
2026-07-22T00:34:20.402201+00:00,2,randomized_autonomous_surveillance,-30.262,-35.841,1.748,-34.0,-5.0,0,0.645,-36.388,1.772,12.0,-8.0,0,30.905,-36.04,2.449,42.0,-12.0,0,30.27,SAFE
2026-07-22T00:34:22.217600+00:00,3,randomized_autonomous_surveillance,-30.393,-34.761,2.121,-34.0,-5.0,0,0.967,-35.582,2.157,12.0,-8.0,0,31.357,-35.06,3.173,42.0,-12.0,0,30.41,SAFE
2026-07-22T00:34:23.921616+00:00,4,randomized_autonomous_surveillance,-30.523,-33.681,2.495,-34.0,-5.0,0,1.29,-34.776,2.543,12.0,-8.0,0,31.81,-34.079,3.897,42.0,-12.0,0,30.56,SAFE
2026-07-22T00:34:25.469231+00:00,5,randomized_autonomous_surveillance,-30.654,-32.602,2.869,-34.0,-5.0,0,1.612,-33.97,2.929,12.0,-8.0,0,32.262,-33.099,4.622,42.0,-12.0,0,30.71,SAFE
2026-07-22T00:34:27.236296+00:00,6,randomized_autonomous_surveillance,-30.785,-31.522,3.243,-34.0,-5.0,0,1.935,-33.164,3.315,12.0,-8.0,0,32.714,-32.119,5.346,42.0,-12.0,0,30.86,SAFE
2026-07-22T00:34:31.547301+00:00,7,randomized_autonomous_surveillance,-30.916,-30.442,3.616,-34.0,-5.0,0,2.257,-32.358,3.7,12.0,-8.0,0,33.167,-31.139,6.07,42.0,-12.0,0,31.02,SAFE
2026-07-22T00:34:33.249668+00:00,8,randomized_autonomous_surveillance,-31.047,-29.363,3.99,-34.0,-5.0,0,2.579,-31.552,4.086,12.0,-8.0,0,33.619,-30.159,6.795,42.0,-12.0,0,31.19,SAFE
2026-07-22T00:34:37.696465+00:00,9,randomized_autonomous_surveillance,-31.178,-28.283,4.364,-34.0,-5.0,0,2.902,-30.746,4.472,12.0,-8.0,0,34.071,-29.179,7.519,42.0,-12.0,0,31.36,SAFE
2026-07-22T00:34:39.317600+00:00,10,randomized_autonomous_surveillance,-31.309,-27.203,4.738,-34.0,-5.0,0,3.224,-29.939,4.858,12.0,-8.0,0,34.524,-28.198,8.243,42.0,-12.0,0,31.53,SAFE
2026-07-22T00:34:41.024082+00:00,11,randomized_autonomous_surveillance,-31.44,-26.124,5.111,-34.0,-5.0,0,3.547,-29.133,5.244,12.0,-8.0,0,34.976,-27.218,8.968,42.0,-12.0,0,31.71,SAFE
2026-07-22T00:34:45.492227+00:00,12,randomized_autonomous_surveillance,-31.57,-25.044,5.485,-34.0,-5.0,0,3.869,-28.327,5.629,12.0,-8.0,0,35.429,-26.238,9.692,42.0,-12.0,0,31.89,SAFE
2026-07-22T00:34:49.971929+00:00,13,randomized_autonomous_surveillance,-31.701,-23.964,5.859,-34.0,-5.0,0,4.191,-27.521,6.015,12.0,-8.0,0,35.881,-25.258,10.416,42.0,-12.0,0,32.07,SAFE
2026-07-22T00:34:54.328348+00:00,14,randomized_autonomous_surveillance,-31.832,-22.885,6.233,-34.0,-5.0,0,4.514,-26.715,6.401,12.0,-8.0,0,36.333,-24.278,11.141,42.0,-12.0,0,32.26,SAFE
2026-07-22T00:34:56.018255+00:00,15,randomized_autonomous_surveillance,-31.963,-21.805,6.606,-34.0,-5.0,0,4.836,-25.909,6.787,12.0,-8.0,0,36.786,-23.298,11.865,42.0,-12.0,0,32.46,SAFE
2026-07-22T00:35:00.497051+00:00,16,randomized_autonomous_surveillance,-32.094,-20.725,6.98,-34.0,-5.0,0,5.159,-25.103,7.172,12.0,-8.0,0,37.238,-22.318,12.589,42.0,-12.0,0,32.65,SAFE
